asset,direction,setup,entry_time,exit_time,bars_held,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
ETH/USDT,short,supertrend_short,2024-10-10T00:00:00+00:00,2024-10-14T00:00:00+00:00,24,2394.10235,2500.691197080401,-0.044521424524895804,-0.011630356131223952,stop
BTC/USDT,long,supertrend,2024-10-11T20:00:00+00:00,2024-10-21T12:00:00+00:00,58,62571.27,67368.81894741984,0.07667335100310171,0.018668337750775428,stop
BTC/USDT,long,supertrend,2024-10-24T20:00:00+00:00,2024-10-25T16:00:00+00:00,5,68232.37913999999,66055.19225573631,-0.031908412277351465,-0.008477103069337867,stop
BTC/USDT,long,supertrend,2024-11-06T04:00:00+00:00,2024-11-25T12:00:00+00:00,116,73407.575445,95163.53989817789,0.29637219757351013,0.07359304939337753,stop
BTC/USDT,long,supertrend,2024-11-29T12:00:00+00:00,2024-12-02T16:00:00+00:00,19,98068.479735,94496.9921008443,-0.03641830324898016,-0.009604575812245041,stop
ETH/USDT,long,supertrend,2024-11-21T16:00:00+00:00,2024-12-03T12:00:00+00:00,71,3348.6735,3534.9687357261823,0.05563254695513984,0.01340813673878496,stop
BTC/USDT,long,supertrend,2024-12-11T20:00:00+00:00,2024-12-18T16:00:00+00:00,41,101175.5625,102941.92015115112,0.017458342780660302,0.0038645856951650755,stop
ETH/USDT,long,supertrend,2024-12-12T04:00:00+00:00,2024-12-18T16:00:00+00:00,39,3907.3527,3788.8468174794493,-0.030328944331170973,-0.008082236082792743,stop
BTC/USDT,long,supertrend,2024-12-26T00:00:00+00:00,2024-12-27T12:00:00+00:00,9,99044.66758499999,94405.60382713721,-0.04683809710282021,-0.012209524275705054,stop
ETH/USDT,short,supertrend_short,2025-01-19T12:00:00+00:00,2025-01-24T12:00:00+00:00,30,3381.98816,3423.7457105595154,-0.012347042208307285,-0.0035867605520768214,stop
BTC/USDT,long,supertrend,2025-01-29T20:00:00+00:00,2025-02-01T20:00:00+00:00,18,103785.10662,100976.2484471094,-0.027064173891298154,-0.007266043472824538,stop
BTC/USDT,long,supertrend,2025-02-03T20:00:00+00:00,2025-02-11T16:00:00+00:00,47,101379.18426,95199.97137599239,-0.060951495409158306,-0.015737873852289575,stop
ETH/USDT,short,supertrend_short,2025-02-02T00:00:00+00:00,2025-02-12T20:00:00+00:00,65,3076.431015,2778.2939442081447,0.09691004587400294,0.023727511468500734,stop
ETH/USDT,short,supertrend_short,2025-02-21T20:00:00+00:00,2025-02-23T20:00:00+00:00,12,2661.6685,2839.194634505154,-0.06669731204511531,-0.017174328011278828,stop
BTC/USDT,short,supertrend_short,2025-02-21T20:00:00+00:00,2025-03-02T12:00:00+00:00,52,96133.88901,86757.69736611533,0.09753263641408849,0.023883159103522122,stop
BTC/USDT,short,supertrend_short,2025-03-03T20:00:00+00:00,2025-03-06T00:00:00+00:00,13,86177.499695,91188.8367557127,-0.0581513397168502,-0.01503783492921255,stop
BTC/USDT,short,supertrend_short,2025-03-09T16:00:00+00:00,2025-03-14T12:00:00+00:00,29,82599.53957000001,85172.59361983597,-0.031150949063770455,-0.008287737265942613,stop
ETH/USDT,short,supertrend_short,2025-03-03T20:00:00+00:00,2025-03-19T08:00:00+00:00,93,2147.935495,1986.5781934524553,0.07512204250227957,0.01828051062556989,stop
BTC/USDT,short,supertrend_short,2025-03-28T08:00:00+00:00,2025-04-01T12:00:00+00:00,25,85212.63237,84619.30491996116,0.006962904836252163,0.0012407262090630407,stop
ETH/USDT,short,supertrend_short,2025-03-28T08:00:00+00:00,2025-04-01T12:00:00+00:00,25,1899.5297600000001,1907.1955177403393,-0.0040356081287924285,-0.0015089020321981071,stop
BTC/USDT,short,supertrend_short,2025-04-03T00:00:00+00:00,2025-04-09T16:00:00+00:00,40,83442.228015,81342.59465644942,0.025162719266953626,0.005790679816738406,stop
